央视频道,#genre#
CCTV-11戏曲,http://221.216.132.178:8118/rtp/239.3.1.152:8120
CCTV-12社会与法,http://221.216.132.178:8118/rtp/239.3.1.64:8124
CCTV-14少儿,http://221.216.132.178:8118/rtp/239.3.1.65:8132
CCTV-15音乐,http://221.216.132.178:8118/rtp/239.3.1.153:8136
CCTV-16奥林匹克频道,http://221.216.132.178:8118/rtp/239.3.1.184:8001
CCTV-17农业农村,http://221.216.132.178:8118/rtp/239.3.1.151:8144

卫视频道,#genre#

湖南卫视,http://222.128.86.76:8133/rtp/239.3.1.132:8012
浙江卫视,http://222.128.86.76:8133/rtp/239.3.1.137:8036
江苏卫视,http://222.128.86.76:8133/rtp/239.3.1.135:8028
东方卫视,http://222.128.86.76:8133/rtp/239.3.1.136:8032
北京卫视,http://222.128.86.76:8133/rtp/239.3.1.241:8000
山东卫视,http://222.128.86.76:8133/rtp/239.3.1.209:8052
辽宁卫视,http://222.128.86.76:8133/rtp/239.3.1.210:8056
安徽卫视,http://222.128.86.76:8133/rtp/239.3.1.211:8064
湖北卫视,http://222.128.86.76:8133/rtp/239.3.1.138:8044
东南卫视,http://222.128.86.76:8133/rtp/239.3.1.156:8148
广东卫视,http://222.128.86.76:8133/rtp/239.3.1.142:8048
黑龙江卫视,http://222.128.86.76:8133/rtp/239.3.1.133:8016
深圳卫视,http://222.128.86.76:8133/rtp/239.3.1.134:8020
贵州卫视,http://222.128.86.76:8133/rtp/239.3.1.149:8076
天津卫视,http://222.128.86.76:8133/rtp/239.3.1.141:1234
河北卫视,http://222.128.86.76:8133/rtp/239.3.1.148:8072
重庆卫视,http://222.128.86.76:8133/rtp/239.3.1.122:8160
江西卫视,http://222.128.86.76:8133/rtp/239.3.1.123:8164
吉林卫视,http://222.128.86.76:8133/rtp/239.3.1.240:8172
南方卫视,http://222.128.86.76:8133/rtp/239.3.1.161:8001
广西卫视,http://222.128.86.76:8133/rtp/239.3.1.39:8300
海南卫视,http://222.128.86.76:8133/rtp/239.3.1.45:8304
厦门卫视,http://222.128.86.76:8133/rtp/239.3.1.143:4120
云南卫视,http://222.128.86.76:8133/rtp/239.3.1.26:8108
西藏卫视,http://222.128.86.76:8133/rtp/239.3.1.47:8164
四川卫视,http://222.128.86.76:8133/rtp/239.3.1.29:8288
河南卫视,http://222.128.86.76:8133/rtp/239.3.1.27:8128
陕西卫视,http://222.128.86.76:8133/rtp/239.3.1.41:8140
新疆卫视,http://222.128.86.76:8133/rtp/239.3.1.48:8160

湖南卫视,http://222.128.86.76:8133/rtp/239.3.1.132:8012
浙江卫视,http://222.128.86.76:8133/rtp/239.3.1.137:8036
江苏卫视,http://222.128.86.76:8133/rtp/239.3.1.135:8028
东方卫视,http://222.128.86.76:8133/rtp/239.3.1.136:8032
北京卫视,http://222.128.86.76:8133/rtp/239.3.1.241:8000
山东卫视,http://222.128.86.76:8133/rtp/239.3.1.209:8052
辽宁卫视,http://222.128.86.76:8133/rtp/239.3.1.210:8056
安徽卫视,http://222.128.86.76:8133/rtp/239.3.1.211:8064
湖北卫视,http://222.128.86.76:8133/rtp/239.3.1.138:8044
东南卫视,http://222.128.86.76:8133/rtp/239.3.1.156:8148
广东卫视,http://222.128.86.76:8133/rtp/239.3.1.142:8048
黑龙江卫视,http://222.128.86.76:8133/rtp/239.3.1.133:8016
深圳卫视,http://222.128.86.76:8133/rtp/239.3.1.134:8020
贵州卫视,http://222.128.86.76:8133/rtp/239.3.1.149:8076
天津卫视,http://222.128.86.76:8133/rtp/239.3.1.141:1234
河北卫视,http://222.128.86.76:8133/rtp/239.3.1.148:8072
重庆卫视,http://222.128.86.76:8133/rtp/239.3.1.122:8160
江西卫视,http://222.128.86.76:8133/rtp/239.3.1.123:8164
吉林卫视,http://222.128.86.76:8133/rtp/239.3.1.240:8172
南方卫视,http://222.128.86.76:8133/rtp/239.3.1.161:8001
广西卫视,http://222.128.86.76:8133/rtp/239.3.1.39:8300
海南卫视,http://222.128.86.76:8133/rtp/239.3.1.45:8304
厦门卫视,http://222.128.86.76:8133/rtp/239.3.1.143:4120
云南卫视,http://222.128.86.76:8133/rtp/239.3.1.26:8108
西藏卫视,http://222.128.86.76:8133/rtp/239.3.1.47:8164
四川卫视,http://222.128.86.76:8133/rtp/239.3.1.29:8288
河南卫视,http://222.128.86.76:8133/rtp/239.3.1.27:8128
陕西卫视,http://222.128.86.76:8133/rtp/239.3.1.41:8140
新疆卫视,http://222.128.86.76:8133/rtp/239.3.1.48:8160

湖南卫视,http://221.219.101.215:8012/rtp/239.3.1.132:8012
浙江卫视,http://221.219.101.215:8012/rtp/239.3.1.137:8036
江苏卫视,http://221.219.101.215:8012/rtp/239.3.1.135:8028
东方卫视,http://221.219.101.215:8012/rtp/239.3.1.136:8032
北京卫视,http://221.219.101.215:8012/rtp/239.3.1.241:8000
山东卫视,http://221.219.101.215:8012/rtp/239.3.1.209:8052
辽宁卫视,http://221.219.101.215:8012/rtp/239.3.1.210:8056
安徽卫视,http://221.219.101.215:8012/rtp/239.3.1.211:8064
湖北卫视,http://221.219.101.215:8012/rtp/239.3.1.138:8044
东南卫视,http://221.219.101.215:8012/rtp/239.3.1.156:8148
广东卫视,http://221.219.101.215:8012/rtp/239.3.1.142:8048
黑龙江卫视,http://221.219.101.215:8012/rtp/239.3.1.133:8016
深圳卫视,http://221.219.101.215:8012/rtp/239.3.1.134:8020
贵州卫视,http://221.219.101.215:8012/rtp/239.3.1.149:8076
天津卫视,http://221.219.101.215:8012/rtp/239.3.1.141:1234
河北卫视,http://221.219.101.215:8012/rtp/239.3.1.148:8072
重庆卫视,http://221.219.101.215:8012/rtp/239.3.1.122:8160
江西卫视,http://221.219.101.215:8012/rtp/239.3.1.123:8164
吉林卫视,http://221.219.101.215:8012/rtp/239.3.1.240:8172
南方卫视,http://221.219.101.215:8012/rtp/239.3.1.161:8001
广西卫视,http://221.219.101.215:8012/rtp/239.3.1.39:8300
海南卫视,http://221.219.101.215:8012/rtp/239.3.1.45:8304
厦门卫视,http://221.219.101.215:8012/rtp/239.3.1.143:4120
云南卫视,http://221.219.101.215:8012/rtp/239.3.1.26:8108
西藏卫视,http://221.219.101.215:8012/rtp/239.3.1.47:8164
四川卫视,http://221.219.101.215:8012/rtp/239.3.1.29:8288
河南卫视,http://221.219.101.215:8012/rtp/239.3.1.27:8128
陕西卫视,http://221.219.101.215:8012/rtp/239.3.1.41:8140
新疆卫视,http://221.219.101.215:8012/rtp/239.3.1.48:8160

山东齐鲁,http://39.77.3.5:8989/udp/239.253.254.114:8000
山东体育,http://39.77.3.5:8989/udp/239.253.254.22:8000
湖南卫视,http://39.77.3.5:8989/udp/239.253.254.82:8000
浙江卫视,http://39.77.3.5:8989/udp/239.253.254.84:8000
江苏卫视,http://39.77.3.5:8989/udp/239.253.254.83:8000
东方卫视,http://39.77.3.5:8989/udp/239.253.254.86:8000
北京卫视,http://39.77.3.5:8989/udp/239.253.254.85:8000
山东卫视,http://39.77.3.5:8989/udp/239.253.254.78:8000
辽宁卫视,http://39.77.3.5:8989/udp/239.253.254.92:8000
安徽卫视,http://39.77.3.5:8989/udp/239.253.254.87:8000
湖北卫视,http://39.77.3.5:8989/udp/239.253.254.88:8000
东南卫视,http://39.77.3.5:8989/udp/239.253.254.105:8000
广东卫视,http://39.77.3.5:8989/udp/239.253.254.90:8000
黑龙江卫视,http://39.77.3.5:8989/udp/239.253.254.93:8000
深圳卫视,http://39.77.3.5:8989/udp/239.253.254.91:8000
贵州卫视,http://39.77.3.5:8989/udp/239.253.254.113:8000
天津卫视,http://39.77.3.5:8989/udp/239.253.254.89:8000
河北卫视,http://39.77.3.5:8989/udp/239.253.254.112:8000
重庆卫视,http://39.77.3.5:8989/udp/239.253.254.38:8000
江西卫视,http://39.77.3.5:8989/udp/239.253.254.47:8000
吉林卫视,http://39.77.3.5:8989/udp/239.253.254.173:8000
南方卫视,
广西卫视,http://39.77.3.5:8989/udp/239.253.254.197:8000
海南卫视,http://39.77.3.5:8989/udp/239.253.254.179:8000
厦门卫视,
云南卫视,http://39.77.3.5:8989/udp/239.253.254.196:8000
西藏卫视,
四川卫视,http://39.77.3.5:8989/udp/239.253.254.180:8000
河南卫视,http://39.77.3.5:8989/udp/239.253.254.190:8000
陕西卫视,
新疆卫视,

湖南卫视,http://221.216.132.178:8118/rtp/239.3.1.132:8012
浙江卫视,http://221.216.132.178:8118/rtp/239.3.1.137:8036
江苏卫视,http://221.216.132.178:8118/rtp/239.3.1.135:8028
东方卫视,http://221.216.132.178:8118/rtp/239.3.1.136:8032
北京卫视,http://221.216.132.178:8118/rtp/239.3.1.241:8000
山东卫视,http://221.216.132.178:8118/rtp/239.3.1.209:8052
辽宁卫视,http://221.216.132.178:8118/rtp/239.3.1.210:8056
安徽卫视,http://221.216.132.178:8118/rtp/239.3.1.211:8064
湖北卫视,http://221.216.132.178:8118/rtp/239.3.1.138:8044
东南卫视,http://221.216.132.178:8118/rtp/239.3.1.156:8148
广东卫视,http://221.216.132.178:8118/rtp/239.3.1.142:8048
黑龙江卫视,http://221.216.132.178:8118/rtp/239.3.1.133:8016
深圳卫视,http://221.216.132.178:8118/rtp/239.3.1.134:8020
